name,capacity,latitude,longitude
Rogers Ave & Snyder Ave,0,40.64871,-73.95218
E 16 St & Cortelyou Rd,0,40.64173,-73.96364
Matthews Ct & Coney Island Ave,0,40.64235,-73.96951
Cortelyou Rd & E 19 St,0,40.64269,-73.96099
E 17 St & Beverley Rd,0,40.64466,-73.96322
Church Ave & Nostrand Ave,0,40.65074,-73.94986
E 18 St & Church Ave,0,40.64958,-73.96316
Brooklyn Ave & Beverley Rd,0,40.64575,-73.94331
New York Ave & Snyder Ave,0,40.64868,-73.94635
Turner Pl & Coney Island Ave,0,40.64521,-73.97073
Wilson Ave & Moffat St,32,40.68906,-73.90506
Hicks St & Montague St,20,40.69512845,-73.99595065
W 35 St & Dyer Ave,41,40.754691750226016,-73.99740189313889
Broadway & Berry St,34,40.71036129922581,-73.96530389785767
Columbia St & Degraw St,21,40.6859296,-74.00242364
Fulton St & Clermont Ave,75,40.68415748,-73.96922273
Clinton St & Grand St,69,40.71559509,-73.9870295
Pinehurst Ave & W 187 St,20,40.855331,-73.937878
E 201 St & Briggs Ave,19,40.87207,-73.88459
Melrose Ave & E 150 St,31,40.816827,-73.917338
Lenox Rd & E 43 St,21,40.65496,-73.93765
Broadway & E 19 St,45,40.73866091428551,-73.98987293243407
Eastern Pkwy & Brooklyn Ave,21,40.66939,-73.94514
E 51 St & Lexington Ave,75,40.75714758,-73.97207836
43 St & Skillman Ave,19,40.74692675687384,-73.9208248257637
Southern Blvd & Tiffany St,20,40.818185,-73.894143
Morris Ave & E 142 St,23,40.814469,-73.924963
3 St & 7 Ave,27,40.6703837,-73.97839676
Rivington St & Chrystie St,64,40.72110063,-73.9919254
Menahan St & Seneca Ave,16,40.70461,-73.91054
Cauldwell Ave & E 161 St,18,40.82188,-73.907521
E 58 St & 1 Ave (NE Corner),29,40.75892386377695,-73.96226227283478
62 St & 43 Ave,20,40.74261,-73.903
53 St & 2 Ave,30,40.64744,-74.018846
Broadway & Roebling St,27,40.70924826276157,-73.96063148975372
W 133 St & 12 Ave,19,40.820003,-73.959089
10 St & 7 Ave,23,40.6662078,-73.98199886
E 174 St & Walton Ave,27,40.844811,-73.912042
Riverside Dr & W 82 St,75,40.78720869,-73.98128127
Broadway & Moylan Pl,41,40.8143256,-73.9590255
Greenpoint Ave & Manhattan Ave,27,40.73026,-73.95394
Pacific St & Sackman St,19,40.67522,-73.9061
31 St & Hoyt Ave N,35,40.7711528,-73.9170074
