name,latitude,longitude,month,start_count,end_count
South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156,Jun 2022,4602,4647
Grove St PATH,40.71941,-74.04309,Jun 2022,4482,4767
Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,Jun 2022,3463,3407
Hoboken Terminal - River St & Hudson Pl,40.7360676564825,-74.02912706136703,Jun 2022,3074,2994
Newport Pkwy,40.7287448,-74.0321082,Jun 2022,2784,2787
City Hall - Washington St & 1 St,40.73736,-74.03097,Jun 2022,2716,2707
Newport PATH,40.7272235,-74.0337589,Jun 2022,2623,2619
12 St & Sinatra Dr N,40.750604142368964,-74.02402013540268,Jun 2022,2516,2562
Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,Jun 2022,2440,2442
Marin Light Rail,40.71458403535893,-74.04281705617905,Jun 2022,2423,2412
Hamilton Park,40.727595966,-74.044247311,Jun 2022,2367,2338
14 St Ferry - 14 St & Shipyard Ln,40.752960630464955,-74.02435272932053,Jun 2022,2227,2279
Liberty Light Rail,40.7112423,-74.0557013,Jun 2022,2087,2119
Columbus Dr at Exchange Pl,40.71636596185077,-74.034343957901,Jun 2022,1986,2015
Harborside,40.7192517,-74.034234,Jun 2022,1922,1939
11 St & Washington St,40.74998490907138,-74.02715027332306,Jun 2022,1817,1833
Washington St,40.73115,-74.00887,Jun 2022,1778,1798
Sip Ave,40.73100888698729,-74.06443700194359,Jun 2022,1756,1737
Hudson St & 4 St,40.74097260864355,-74.02860336005688,Jun 2022,1746,1760
8 St & Washington St,40.745983882915624,-74.02819901704788,Jun 2022,1622,1585
Madison St & 1 St,40.73879,-74.0393,Jun 2022,1595,1597
City Hall,40.7177325,-74.043845,Jun 2022,1567,1609
Warren St,40.685424009970184,-73.99127773940563,Jun 2022,1504,1501
Newark Ave,40.72152515,-74.046304543,Jun 2022,1473,1519
Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455,Jun 2022,1378,1396
Grand St & 14 St,40.75409,-74.0316,Jun 2022,1361,1394
Church Sq Park - 5 St & Park Ave,40.74265933273143,-74.03223305940628,Jun 2022,1333,1321
Columbus Drive,40.71835519823214,-74.03891444206238,Jun 2022,1325,1349
Van Vorst Park,40.71848892,-74.047726625,Jun 2022,1294,1347
Clinton St & Newark St,40.73743,-74.03571,Jun 2022,1270,1283
Grand St,40.716425,-73.96594,Jun 2022,1250,1279
Paulus Hook,40.7141454,-74.0335519,Jun 2022,1238,1246
Manila & 1st,40.721650724879986,-74.04288411140442,Jun 2022,1236,1263
9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209,Jun 2022,1170,1169
Bloomfield St & 15 St,40.75453,-74.02658,Jun 2022,1143,1155
4 St & Grand St,40.7422579775645,-74.03511106967926,Jun 2022,1143,1153
7 St & Monroe St,40.74641264837719,-74.03797701001167,Jun 2022,1141,1161
JC Medical Center,40.71539114317,-74.04969155788422,Jun 2022,1123,1137
Clinton St & 7 St,40.74542,-74.03332,Jun 2022,1109,1100
Willow Ave & 12 St,40.7518674823282,-74.03037697076797,Jun 2022,1029,1041
Morris Canal,40.7124188237569,-74.03852552175522,Jun 2022,1026,1020
McGinley Square,40.7253399253558,-74.06762212514877,Jun 2022,1024,899
Brunswick & 6th,40.72601172964625,-74.05038893222809,Jun 2022,982,970
Brunswick St,40.7241765,-74.0506564,Jun 2022,967,973
Jersey & 3rd,40.72333158646436,-74.04595255851744,Jun 2022,966,987
Baldwin at Montgomery,40.7236589,-74.0641943,Jun 2022,963,921
Adams St & 2 St,40.73981372311843,-74.03690412640572,Jun 2022,962,979
Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264,Jun 2022,956,990
Marshall St & 2 St,40.740802,-74.042521,Jun 2022,933,934
Journal Square,40.73367,-74.0625,Jun 2022,911,866
Madison St & 10 St,40.74994325412246,-74.03586477041245,Jun 2022,896,926
6 St & Grand St,40.744397833095604,-74.03450086712837,Jun 2022,821,798
Dixon Mills,40.721630142638354,-74.04996782541275,Jun 2022,778,786
Lafayette Park,40.71346382669195,-74.06285852193832,Jun 2022,771,772
Riverview Park,40.7443187,-74.0439909,Jun 2022,766,741
Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991,Jun 2022,762,748
Mama Johnson Field - 4 St & Jackson St,40.74313993965626,-74.04004096984863,Jun 2022,761,749
Pershing Field,40.742677141,-74.051788633,Jun 2022,758,726
Hilltop,40.7311689,-74.0575736,Jun 2022,747,628
Jersey & 6th St,40.72528910781132,-74.04557168483734,Jun 2022,744,755
Essex Light Rail,40.7127742,-74.0364857,Jun 2022,732,747
Monmouth and 6th,40.72568548362901,-74.04879033565521,Jun 2022,683,693
Adams St & 11 St,40.750915534784994,-74.03354063630104,Jun 2022,667,687
Oakland Ave,40.7376037,-74.0524783,Jun 2022,667,517
Bergen Ave,40.814673,-73.91839,Jun 2022,649,637
Fairmount Ave,40.72572613742557,-74.07195925712585,Jun 2022,580,497
Montgomery St,40.666439306870814,-73.9605563879013,Jun 2022,578,588
Christ Hospital,40.734785818,-74.050443636,Jun 2022,575,465
Astor Place,40.71928220070702,-74.07126188278198,Jun 2022,550,492
Heights Elevator,40.748715945380226,-74.04044330120087,Jun 2022,548,537
Lincoln Park,40.7246050998869,-74.07840594649315,Jun 2022,547,575
Leonard Gordon Park,40.74590996631558,-74.0572714805603,Jun 2022,526,465
Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,Jun 2022,416,439
5 Corners Library,40.734961020009514,-74.0595030784607,Jun 2022,372,345
Glenwood Ave,40.72755146730012,-74.07106071710587,Jun 2022,340,259
Union St,40.6772744,-73.98282002,Jun 2022,283,281
Dey St,40.737711,-74.066921,Jun 2022,275,262
Jackson Square,40.71113,-74.0789,Jun 2022,187,205
Bergen Ave & Stegman St,40.70657545063453,-74.0867006778717,Jun 2022,150,184
Grant Ave & MLK Dr,40.70919832245443,-74.08084273338318,Jun 2022,71,83
JCBS Depot,,,Jun 2022,1,1
Missing,,,Jun 2022,0,19
Vesey St & Church St,40.71221958009051,-74.01047229766846,Jun 2022,0,8
Vesey Pl & River Terrace,40.7153379,-74.01658354,Jun 2022,0,7
12 Ave & W 40 St,40.76087502,-74.00277668,Jun 2022,0,6
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,Jun 2022,0,4
West St & Chambers St,40.71754834,-74.01322069,Jun 2022,0,3
Park Pl & Church St,40.71334184275907,-74.00935515761375,Jun 2022,0,3
South St & Whitehall St,40.70122128,-74.01234218,Jun 2022,0,3
Water St &  Fletcher St,40.706410755236135,-74.00559738278389,Jun 2022,0,2
Greenwich St & Hubert St,40.721319,-74.010065,Jun 2022,0,2
W 106 St & Central Park West,40.7981856,-73.9605909006,Jun 2022,0,2
6 Ave & W 33 St,40.74901271,-73.98848395,Jun 2022,0,2
Fulton St & Broadway,40.711066,-74.009447,Jun 2022,0,2
West St & Liberty St,40.711444,-74.014847,Jun 2022,0,2
W 56 St & 8 Ave,40.765959181657976,-73.98313522338867,Jun 2022,0,2
Cliff St & Fulton St,40.70838,-74.00495,Jun 2022,0,2
10 Ave & W 14 St,40.741981599940225,-74.00831580162048,Jun 2022,0,2
Great Jones St,40.72743423,-73.99379025,Jun 2022,0,2
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,Jun 2022,0,2
Maiden Ln & Pearl St,40.70706456,-74.00731853,Jun 2022,0,2
Watts St & Greenwich St,40.72405549,-74.00965965,Jun 2022,0,1
Christopher St & Greenwich St,40.73291553,-74.00711384,Jun 2022,0,1
MacDougal St & Washington Sq,40.73226398,-73.99852205,Jun 2022,0,1
E 47 St & Park Ave,40.75510267,-73.97498696,Jun 2022,0,1
Leonard St & Church St,40.717571,-74.005549,Jun 2022,0,1
Bus Slip & State St,40.701907,-74.013942,Jun 2022,0,1
John St & William St,40.70862144,-74.00722156,Jun 2022,0,1
River Ter & Warren St,40.71759894980997,-74.01587963104248,Jun 2022,0,1
6 Ave & Walker St,40.7197920901383,-74.0052238852195,Jun 2022,0,1
Broadway & E 19 St,40.73866091428551,-73.98987293243407,Jun 2022,0,1
Greenwich St & W Houston St,40.728846,-74.008591,Jun 2022,0,1
Barrow St & Hudson St,40.73172428,-74.00674436,Jun 2022,0,1
E 59 St & Madison Ave,40.76350532,-73.97109243,Jun 2022,0,1
Mott St & Prince St,40.72317958,-73.99480012,Jun 2022,0,1
